DrugBankID	GeneName
Q9UHI7	SLC23A1
Q02809	PLOD1
Q9H6Z9	EGLN3
Q9NVH6	TMLHE
Q9NXG6	P4HTM
P52788	SMS
Q9NWM0	SMOX
P41180	CASR
P08588	ADRB1
P07550	ADRB2
P07998	RNASE1
P61626	LYZ
Q9UJS0	SLC25A13
P45381	ASPA
P08243	ASNS
Q03154	ACY1
P14868	DARS
O75746	SLC25A12
Q12797	ASPH
P22234	PAICS
P27708	CAD
P30520	ADSS
P43005	SLC1A1
Q5T6L4	ASS
Q6PI48	DARS2
Q7L266	ASRGL1
Q8N142	ADSSL1
Q96HD9	ACY3
P00480	OTC
P05089	ARG1
P54368	OAZ1
Q9BXI2	SLC25A2
Q9Y619	SLC25A15
O95190	OAZ2
P50440	GATM
Q9UMX2	OAZ3
P17812	CTPS1
Q06203	PPAT
P15104	GLUL
P16220	CREB1
P11309	PIM1
Q07343	PDE4B
Q9Y478	PRKAB1
P49773	HINT1
Q08499	PDE4D
Q9NUB1	ACSS1
Q9NR19	ACSS2
Q13131	PRKAA1
O43741	PRKAB2
Q08828	ADCY1
P33121	ACSL1
P09467	FBP1
P55263	ADK
O60427	FADS1
O95864	FADS2
P32418	SLC8A1
Q8NER1	TRPV1
Q9GZR5	ELOVL4
Q07869	PPARA
Q96RI1	NR1H4
Q03181	PPARD
P37231	PPARG
P19793	RXRA
P49591	SARS
P50579	METAP2
Q93088	BHMT
Q9H2M3	BHMT2
Q9Y2Z4	YARS2
P54577	YARS
P11473	VDR
P31260	HOXA10
P02774	GC
Q9UPY5	SLC7A11
O60931	CTNS
P82251	SLC7A9
Q07837	SLC3A1
Q99643	SDHC
Q9BXA5	SUCNR1
Q9BYC2	OXCT2
Q9P2R7	SUCLA2
Q9UBX3	SLC25A10
P31040	SDHA
O14756	HSD17B6
Q8WWT9	SLC13A3
Q13183	SLC13A2
Q9BZW2	SLC13A1
Q96I99	SUCLG2
O14521	SDHD
O15460	P4HA2
P21912	SDHB
P51649	ALDH5A1
P53597	SUCLG1
P55809	OXCT1
Q969G6	RFK
P0AFU8	ribC
P30043	BLVRB
O60512	B4GALT3
O60513	B4GALT4
O60909	B4GALT2
Q9UJ70	NAGK
Q9UK23	NAGPA
P54802	NAGLU
P51606	RENBP
P15291	B4GALT1
Q13255	GRM1
Q14833	GRM4
Q16099	GRIK4
Q16478	GRIK5
Q14831	GRM7
O00222	GRM8
O00341	SLC1A7
O14841	OPLAH
O15067	PFAS
O15399	GRIN2D
O43424	GRID2
O60391	GRIN3B
O75879	GATB
O94925	GLS
P07814	EPRS
P43003	SLC1A3
P43004	SLC1A2
P48506	GCLC
P48664	SLC1A6
P49448	GLUD2
P49915	GMPS
Q05586	GRIN1
Q05932	FPGS
Q07075	ENPEP
Q12879	GRIN2A
Q13224	GRIN2B
Q14957	GRIN2C
Q5JPH6	EARS2
Q5TDP6	LGSN
Q6IA69	NADSYN1
Q8N159	NAGS
Q8TCU5	GRIN3A
Q9H1K4	SLC25A18
Q9H936	SLC25A22
Q9UDR5	AASS
Q9UI32	GLS2
Q9ULA0	DNPEP
Q9ULK0	GRID1
Q9Y646	CPQ
P00367	GLUD1
P39086	GRIK1
P42261	GRIA1
P48507	GCLM
Q05329	GAD2
P42262	GRIA2
P42263	GRIA3
P48058	GRIA4
P54886	ALDH18A1
Q13002	GRIK2
Q13003	GRIK3
O14880	MGST3
O60760	HPGDS
O95881	TXNDC12
P08263	GSTA1
P09210	GSTA2
P10620	MGST1
P10768	ESD
P19440	GGT1
P28161	GSTM2
P35754	GLRX
P36969	GPX4
P46439	GSTM5
P59796	GPX6
Q16775	HAGH
Q6NSD4	GPX1
Q8TED1	GPX8
Q96SL4	GPX7
Q99735	MGST2
Q9H4Y5	GSTO2
Q9NS18	GLRX2
Q04760	GLO1
Q16873	LTC4S
P00390	GSR
P48637	GSS
P09488	GSTM1
Q9Y2Q3	GSTK1
Q16772	GSTA3
P21266	GSTM3
O15217	GSTA4
Q03013	GSTM4
Q7RTV2	GSTA5
P09211	GSTP1
P78417	GSTO1
P07203	GPX1
P18283	GPX2
P30711	GSTT1
O43708	GSTZ1
O75715	GPX5
P22352	GPX3
P15121	AKR1B1
P14780	MMP9
P08684	CYP3A4
P49619	DGKG
Q16760	DGKD
Q9BVG9	PTDSS2
Q9NXE4	SMPD4
Q9NY59	SMPD3
Q9Y2Q0	ATP8A1
P17252	PRKCA
P48651	PTDSS1
Q9UG56	PISD
Q8WTV0	SCARB1
P23434	GCSH
P41250	GARS
Q14032	BAAT
Q14330	GPR18
Q6IB77	GLYAT
Q7Z2H8	SLC36A1
Q8WU03	GLYATL2
Q969I3	GLYATL1
Q9H598	SLC32A1
Q9P0Z9	PIPOX
Q9Y345	SLC6A5
P48067	SLC6A9
P23415	GLRA1
P48167	GLRB
O75311	GLRA3
P23416	GLRA2
O00764	PDXK
P06732	CKM
P12532	CKMT1A
P12532	CKMT1B
P12277	CKB
P17540	CKMT2
P48029	SLC6A8
Q14353	GAMT
Q15031	LARS2
O60294	LCMT2
Q9UIC8	LCMT1
Q9P2J5	LARS
Q9UGM6	WARS2
P00953	trpS
P23381	WARS
P49589	CARS
P16455	MGMT
Q9BZV2	SLC19A3
Q9HA77	CARS2
Q16878	CDO1
Q9H3S4	TPK1
O60779	SLC19A2
P23219	PTGS1
P35354	PTGS2
O95865	DDAH2
O94760	DDAH1
P29475	NOS1
Q6TGC4	PADI6
Q9ULC6	PADI1
Q9ULW8	PADI3
Q9Y2J8	PADI2
Q9UM07	PADI4
P26639	TARS
Q9BW92	TARS2
