,ProteinID,GeneNames,Transcription regulation,Transmembrane,DNA-binding,Kinase,metaboli,RNA-binding,signal,enzyme,ase,Enzyme,Oncogene,TSG
5355,P83916,CBX1,0,0,0,0,0,0,0,0,0,0,0,0
5356,P27540,ARNT,1,0,1,0,0,0,0,0,0,0,1,1
5357,O00257,CBX4,1,0,0,0,0,0,0,0,1,1,0,0
5358,Q9UK00,C3orf18,0,1,0,0,0,0,0,0,0,0,0,0
5359,Q8N5N4,C3orf22,0,0,0,0,0,0,0,0,0,0,0,0
5360,Q96M34,C3orf30,0,0,0,0,0,0,0,0,0,0,0,0
5361,Q3SXR2,C3orf36,0,0,0,0,0,0,0,0,0,0,0,0
5362,Q8N813,C3orf56,0,0,0,0,0,0,0,0,0,0,0,0
5363,Q6ZUJ4,C3orf62,0,0,0,0,0,0,0,0,0,0,0,0
5364,A6NLC5,C3orf70,0,0,0,0,0,0,0,0,0,0,0,0
5365,Q6ZRV3,LINC00696,0,0,0,0,0,0,0,0,0,0,0,0
5366,Q8IW40,CCDC103,0,0,0,0,0,0,0,0,1,0,0,0
5367,Q9H0I3,CCDC113,0,0,0,0,0,0,0,0,0,0,0,0
5368,Q8IYX3,CCDC116,0,0,0,0,0,0,0,0,0,0,0,0
5369,Q6ZUS5,CCDC121,0,0,0,0,0,0,0,0,0,0,0,0
5370,Q5T0U0,CCDC122,0,0,0,0,0,0,0,0,0,0,0,0
5371,Q96M89,CCDC138,0,0,0,0,0,0,0,0,0,0,0,0
5372,Q9UNH5,CDC14A,0,0,0,0,0,0,0,0,1,1,0,0
5373,O60729,CDC14B,0,0,0,0,0,0,0,0,1,1,0,0
5374,Q569K6,CCDC157,0,0,0,0,0,0,0,0,0,0,0,0
5375,P0C7I6,CCDC159,0,0,0,0,0,0,0,0,0,0,0,0
5376,Q4G0X9,CCDC40,0,0,0,0,0,0,0,0,0,0,0,0
5377,Q96MW1,CCDC43,0,0,0,0,0,0,0,0,0,0,0,0
5378,Q96A33,CCDC47,0,1,0,0,0,0,0,0,0,0,0,0
5379,Q76M96,CCDC80,0,0,0,0,0,0,0,0,0,0,0,0
5380,Q86UT8,CCDC84,0,0,0,0,0,0,0,0,0,0,0,0
5381,Q8N998,CCDC89,0,0,0,0,0,0,0,0,0,0,0,0
5382,Q53HC0,CCDC92,0,0,0,0,0,0,0,0,0,0,0,0
5383,Q567U6,CCDC93,0,0,0,0,0,0,0,0,0,0,0,0
5384,Q2M329,CCDC96,0,0,0,0,0,0,0,0,0,0,0,0
5385,Q96F63,CCDC97,0,0,0,0,0,0,0,0,0,0,0,0
5386,Q9BQI4,CCDC3,0,0,0,0,0,0,0,0,0,0,0,0
5387,Q9H0W5,CCDC8,0,0,0,0,0,0,0,0,0,0,0,0
5388,O60359,CACNG3,0,1,0,0,0,0,0,0,0,0,0,0
5389,Q9BXT2,CACNG6,0,1,0,0,0,0,0,0,0,0,0,0
5390,Q8WXS5,CACNG8,0,1,0,0,0,0,0,0,0,0,0,0
5391,Q8WXS4,TMEM37,0,1,0,0,0,0,0,0,0,0,0,0
5392,Q8TD31,CCHCR1,0,0,0,0,0,0,0,0,0,0,0,0
5393,P51671,CCL11,0,0,0,0,0,0,0,0,0,0,0,0
5394,Q92583,CCL17,0,0,0,0,0,0,0,0,0,0,0,0
5395,P55774,CCL18,0,0,0,0,0,0,0,0,0,0,0,0
5396,P10147,CCL3,0,0,0,0,0,0,0,0,0,1,0,0
5397,P24863,CCNC,1,0,0,0,0,0,0,0,0,1,0,1
5398,P30281,CCND3,0,0,0,0,0,0,0,0,0,1,1,0
5399,P24864,CCNE1,0,0,0,0,0,0,0,0,0,1,1,0
5400,P41002,CCNF,0,0,0,0,0,0,0,0,0,1,0,0
5401,P51959,CCNG1,0,0,0,0,0,0,0,0,0,0,0,0
5402,O75909,CCNK,1,0,0,0,0,0,0,0,0,1,0,0
5403,O60583,CCNT2,1,0,0,0,0,0,0,0,0,1,0,0
5404,P46092,CCR10,0,1,0,0,0,0,0,0,0,0,0,0
5405,Q9BPX5,ARPC5L,0,0,0,0,0,0,0,0,0,0,0,0
5406,Q9H981,ACTR8,1,0,0,0,0,0,0,0,0,0,0,0
5407,Q9H9F9,ACTR5,1,0,0,0,0,0,0,0,0,0,0,0
5408,O15511,ARPC5,0,0,0,0,0,0,0,0,0,0,0,0
5409,P51681,CCR5,0,1,0,0,0,0,0,0,0,0,0,0
5410,P51684,CCR6,0,1,0,0,0,0,0,0,0,0,0,0
5411,P09972,ALDOC,0,0,0,0,0,0,0,0,1,1,0,0
5412,Q01433,AMPD2,0,0,0,0,1,0,0,0,1,1,0,0
5413,P04745,AMY1A; AMY1B; AMY1C,0,0,0,0,1,0,0,0,1,1,0,0
5414,Q6UX39,AMTN,0,0,0,0,0,0,0,0,0,0,0,0
5415,A6QL64,ANKRD36,0,0,0,0,0,0,0,0,0,0,0,0
5416,P05814,CSN2,0,0,0,0,0,0,0,0,0,0,0,0
5417,Q96PS8,AQP10,0,1,0,0,0,0,0,0,0,0,0,0
5418,Q6P4E1,CASC4,0,1,0,0,0,0,0,0,0,0,0,0
5419,O60306,AQR,0,0,0,0,0,1,0,0,1,1,0,0
5420,O43315,AQP9,0,1,0,0,0,0,0,0,0,0,0,0
5421,Q8N6S5,ARL6IP6,0,1,0,0,0,0,0,0,0,0,0,0
