"HRH1","PDE4D","PPARA"
"EQUOL",0.820631729029207,-0.388119942940852,0.611242596090201
"HALOPERIDOL",-0.928279346867442,-0.578518415122913,0.164150363815677
"ITRACONAZOLE",-0.511599621980552,-0.452488762060572,0.394602554946077
