"HRH1","LTA4H","NQO2","PPARA"
"CANDESARTAN",-0.338852590836719,-0.393708091946151,0.38237814475484,-0.165686101336609
"CARPROFEN",-1.06277726043901,-1.13786918751656,-0.861090093051848,-0.363696616003382
"CERULENIN",-1.84908574021532,-2.31683932856188,-1.58515745999865,-1.48519762105109
"CHLORPHENAMINE",-0.609258725542856,-0.28987228096161,-0.310837246618339,-0.269720467794369
