sNET, RSS of Yobs-YNF without the left out experiment, RSS of Pobs-PNF without the left out experiment, WRSS of Yobs-YNF without the left out experiment, WRSS of Pobs-PNF without the left out experiment, RSS of Yobs without the left out experiment , RSS of Pobs without the left out experiment , WRSS of Yobs without the left out experiment , WRSS of Pobs without the left out experiment , RSS(Yobs), RSS(Pobs), WRSS(Yobs), WRSS(Pobs), RSS(Eobs), RSS(Fobs), WRSS(Eobs), WRSS(Fobs), RSS(Yobs-Ypred) LOO, RSS(Pobs-Ppred) LOO, WRSS(Yobs-Ypred) LOO, WRSS(Pobs-Ppred) LOO, Y pred for LOO, RSS of linear combination of P, WRSS of prediction of Y, SPCorr, relErrorY, relErrorP, relErrorYdouble, relErrorPdouble
FITBolasso_network_L898_M115_support97.7_2.65e-03,1177.2,26.4584,832.356,1837.39,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1119.36,27.8559,791.459,1934.44,15960.2,22.3283,11284.8,1550.58,15960.2,25.0835,11284.8,0.299924,0.387249,0.39508,0.352648,0.397942
FITBolasso_network_L1031_M115_support98.1_2.01e-03,1185.99,26.8268,838.572,1862.97,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1184.87,27.8287,837.779,1932.55,16380.4,22.3058,11582,1549.01,16380.4,25.0835,11582,0.28363,0.367502,0.396067,0.373286,0.397553
FITBolasso_network_L1031_M115_support98.1_2.01e-03,1185.99,26.8268,838.572,1862.97,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1184.87,27.8287,837.779,1932.55,16380.4,22.3058,11582,1549.01,16380.4,25.0835,11582,0.28363,0.367502,0.396067,0.373286,0.397553
FITBolsco_network_L1597_M115_support100.1_1.70e-05,1360.47,29.7845,961.938,2068.37,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1442.32,30.3779,1019.81,2109.57,17905.2,25.4386,12660.1,1766.57,17905.2,25.0835,12660.1,0.28291,0.42061,0.439843,0.454393,0.433969
FITBolsco_network_L803_M115_support92.4_1.24e-02,813.544,16.1466,575.227,1121.29,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,694.001,18.4725,490.703,1282.81,18484.8,16.4036,13070,1139.14,18484.8,25.0835,13070,0.331919,0.263924,0.241509,0.218641,0.263893
FITBotlsco_network_L1032_M115_support90.8_1.07e-02,573.35,14.3023,405.395,993.217,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,590.36,14.6822,417.422,1019.6,18752.9,16.0545,13259.5,1114.9,18752.9,25.0835,13259.5,0.363359,0.171882,0.221653,0.185989,0.209746
complimentRandomFit_Bolasso_network_L1145_M115_support98.4_1.52e-03,1169.95,26.8019,827.229,1861.24,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1219.23,27.4506,862.07,1906.29,20621.5,22.6327,14580.7,1571.72,20621.5,25.0835,14580.7,0.170011,0.365406,0.396508,0.384109,0.392151
FITBolsco_network_L45_M115_support4.6_1.49e-01,826.099,18.8829,584.104,1311.31,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,805.621,19.9201,569.625,1383.34,21538.6,18.2684,15229.2,1268.64,21538.6,25.0835,15229.2,0.218661,0.283883,0.276496,0.253806,0.284573
FITBolasso_network_L567_M115_support91.8_6.06e-03,1117.85,24.0062,790.39,1667.1,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1164.69,24.6091,823.508,1708.96,21780.2,20.1786,15400,1401.29,21780.2,25.0835,15400,0.252624,0.344817,0.35292,0.366928,0.351558
FITBolasso_network_L1514_M115_support99.7_2.90e-04,1304.64,28.4612,922.466,1976.47,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1337.95,29.3209,946.018,2036.17,21918.7,24.306,15497.9,1687.92,21918.7,25.0835,15497.9,0.297427,0.396587,0.421424,0.421514,0.41887
FITBolasso_network_L1145_M115_support98.4_1.52e-03,1253.97,26.746,886.635,1857.36,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1168.92,28.3258,826.499,1967.07,22047,22.1766,15588.6,1540.04,22047,25.0835,15588.6,0.265253,0.381501,0.398534,0.36826,0.404654
FITBolasso_network_L1145_M115_support98.4_1.52e-03,1253.97,26.746,886.635,1857.36,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1168.92,28.3258,826.499,1967.07,22047,22.1766,15588.6,1540.04,22047,25.0835,15588.6,0.265253,0.381501,0.398534,0.36826,0.404654
indegreeRandomFit_Bolasso_network_L1031_M115_support98.1_2.01e-03,1037.69,23.85,733.711,1656.25,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,1017.57,25.1491,719.488,1746.47,22296.2,23.1862,15764.8,1610.15,22296.2,25.0835,15764.8,0.335486,0.332497,0.345582,0.32058,0.359273
FITBolasso_network_L1600_M115_support100.1_2.73e-07,632.853,14.935,447.467,1037.15,3083.47,68,2180.21,4722.22,3174.16,70,2244.33,4861.11,710.302,14.5902,502.228,1013.21,22832,16.7286,16143.6,1161.71,22832,25.0835,16143.6,0.236704,0.212711,0.216466,0.223776,0.208432
